id,nomExp,prenomExp,telExp,specialiteExp,emailExp
1,Hannoun,Hassan,0666890310,IA,hassan.hannoun@aes.com
2,Hannoun,Omar,0609985483,IA,omar.hannoun@aes.com
3,Lamrani,Amine,0625240259,Management,amine.lamrani@aes.com
4,Chraibi,Hassan,0613351610,Cyber,hassan.chraibi@aes.com
5,Hannoun,Hassan,0616434633,IA,hassan.hannoun@aes.com
6,ElFassi,Youssef,0682458811,Cloud,youssef.elfassi@aes.com
7,Hannoun,Hassan,0642234765,Finance,hassan.hannoun@aes.com
8,Lamrani,Hassan,0676635795,Marketing,hassan.lamrani@aes.com
9,Benali,Omar,0613052376,IA,omar.benali@aes.com
10,Chraibi,Amine,0615634519,Management,amine.chraibi@aes.com
