id,nomPart,prenomPart,sexePart,telPart,emailPart
1,Lamrani,Hassan,M,0788712074,user1@mail.com
2,ElFassi,Youssef,M,0725662016,user2@mail.com
3,Tazi,Amine,M,0735374407,user3@mail.com
4,Ziani,Amine,M,0703104969,user4@mail.com
5,Mahmoudi,Amine,M,0786616421,user5@mail.com
6,Ziani,Hassan,M,0713653340,user6@mail.com
7,Kabbaj,Lina,F,0701676571,user7@mail.com
8,Hannoun,Imane,M,0730600364,user8@mail.com
9,Mahmoudi,Karim,M,0786209158,user9@mail.com
10,Mahmoudi,Amine,M,0734591721,user10@mail.com
11,Bennani,Lina,M,0793772966,user11@mail.com
12,Bennani,Aya,M,0769685529,user12@mail.com
13,Kabbaj,Hassan,F,0758604244,user13@mail.com
14,Kabbaj,Lina,F,0716411023,user14@mail.com
15,Hannoun,Omar,M,0775111663,user15@mail.com
16,Lamrani,Sara,M,0743231072,user16@mail.com
17,Benali,Sara,F,0776897744,user17@mail.com
18,Hannoun,Sara,F,0748046298,user18@mail.com
19,Lamrani,Omar,F,0731136809,user19@mail.com
20,Hannoun,Youssef,M,0759072986,user20@mail.com
